resolution,viewport,frequency
1311,1132,1
1311,1139,1
1311,1167,1
1311,1189,1
1311,1213,2
1311,1227,1
1311,1236,1
1311,1242,1
1311,1254,1
1311,1265,1
1311,1281,1
1311,1282,1
1311,1284,1
1311,1287,4
1311,1290,1
1311,1291,74
1311,1292,1
1311,1294,2
1311,1296,5
1311,1300,2
1311,1311,546
1311,1382,1
1360,570,1
1360,718,1
1360,756,2
1360,763,1
1360,771,2
1360,800,5
1360,906,4
1360,1008,1
1360,1014,5
1360,1034,3
1360,1040,1
1360,1042,1
1360,1043,1
1360,1054,1
1360,1060,3
1360,1080,14
1360,1088,5
1360,1095,3
1360,1098,1
1360,1107,1
1360,1113,1
1360,1117,5
1360,1122,1
1360,1129,1
1360,1132,1
1360,1133,2
1360,1153,1
1360,1162,1
1360,1174,2
1360,1185,1
1360,1189,1
1360,1210,2
1360,1227,1
1360,1235,2
1360,1236,3
1360,1240,2
1360,1243,2
1360,1250,6
1360,1253,1
1360,1260,1
1360,1265,2
1360,1273,1
1360,1286,2
1360,1290,1
1360,1292,1
1360,1293,1
1360,1295,3
1360,1296,1
1360,1297,3
1360,1301,2
1360,1307,1
1360,1308,1
1360,1320,1
1360,1322,1
1360,1323,3
1360,1325,1
1360,1326,3
1360,1327,5
1360,1329,1
1360,1330,1
1360,1331,3
1360,1332,1
1360,1333,1
1360,1335,10
1360,1336,3
1360,1337,2
1360,1338,1
1360,1339,190
1360,1340,18
1360,1342,14
1360,1344,10
1360,1346,1
1360,1347,3
1360,1348,2
1360,1349,1
1360,1350,1
1360,1351,1
1360,1352,5
1360,1356,1
1360,1357,1
1360,1358,3
1360,1360,1030
1360,1440,1
1360,1511,1
1360,1899,1
1366,286,1
1366,288,1
1366,435,1
1366,448,1
1366,461,1
1366,494,1
1366,502,1
1366,530,1
1366,547,1
1366,551,1
1366,571,1
1366,592,1
1366,601,1
1366,602,1
1366,603,2
1366,610,1
1366,613,1
1366,618,1
1366,622,2
1366,627,2
1366,632,1
1366,644,1
1366,647,2
1366,658,1
1366,659,1
1366,664,1
1366,665,1
1366,667,2
1366,668,1
1366,669,1
1366,679,1
1366,680,1
1366,683,2
1366,690,1
1366,691,1
1366,696,1
1366,700,1
1366,702,1
1366,703,2
1366,710,1
1366,716,1
1366,717,1
1366,719,1
1366,731,2
1366,738,1
1366,739,1
1366,751,1
1366,752,1
1366,755,1
1366,760,2
1366,761,1
1366,762,1
1366,763,14
1366,764,2
1366,766,2
1366,768,1
1366,770,3
1366,771,5
1366,772,1
1366,776,1
1366,780,3
1366,781,1
1366,782,5
1366,784,13
1366,785,2
1366,791,1
1366,792,3
1366,800,2
1366,810,8
1366,816,4
1366,825,2
1366,837,16
1366,866,10
1366,876,2
1366,889,2
1366,905,2
1366,941,5
1366,947,2
1366,948,5
1366,969,2
1366,983,2
1366,984,3
1366,1000,3
1366,1001,1
1366,1002,3
1366,1004,2
1366,1006,11
1366,1008,11
1366,1009,3
1366,1012,2
1366,1013,7
1366,1014,1
1366,1015,1
1366,1016,3
1366,1019,2
1366,1020,1
1366,1022,1
1366,1023,3
1366,1024,14
1366,1025,1
1366,1026,3
1366,1027,2
1366,1029,2
1366,1031,1
1366,1032,7
1366,1033,7
1366,1034,69
1366,1035,5
1366,1036,3
1366,1037,19
1366,1038,7
1366,1039,4
1366,1040,13
1366,1041,4
1366,1042,5
1366,1043,2
1366,1045,1
1366,1047,2
1366,1048,1
1366,1049,2
1366,1050,13
1366,1051,1
1366,1052,7
1366,1053,4
1366,1054,3
1366,1055,2
1366,1056,3
1366,1057,3
1366,1058,1
1366,1059,1
1366,1060,2
1366,1062,4
1366,1063,6
1366,1064,1
1366,1065,4
1366,1066,72
1366,1067,1
1366,1068,1
1366,1069,4
1366,1070,4
1366,1071,3
1366,1072,1
1366,1073,4
1366,1074,1
1366,1075,1
1366,1077,1
1366,1078,1
1366,1079,1
1366,1080,1
1366,1082,1
1366,1083,1
1366,1086,1
1366,1089,3
1366,1090,1
1366,1092,44
1366,1093,3
1366,1095,3
1366,1096,1
1366,1097,2
1366,1098,1
1366,1099,4
1366,1100,3
1366,1101,2
1366,1102,3
1366,1103,3
1366,1104,3
1366,1105,2
1366,1107,1
1366,1108,2
1366,1110,2
1366,1111,3
1366,1113,4
1366,1115,1
1366,1116,1
1366,1117,2
1366,1118,1
1366,1119,1
1366,1120,2
1366,1121,3
1366,1122,1
1366,1123,1
1366,1124,2
1366,1125,2
1366,1126,3
1366,1128,1
1366,1129,4
1366,1130,3
1366,1132,1
1366,1134,2
1366,1135,1
1366,1138,13
1366,1139,1
1366,1140,1
1366,1141,6
1366,1142,3
1366,1144,1
1366,1146,2
1366,1147,3
1366,1148,3
1366,1150,9
1366,1151,1
1366,1152,4
1366,1154,2
1366,1155,4
1366,1156,3
1366,1157,6
1366,1160,4
1366,1161,5
1366,1162,3
1366,1163,1
1366,1164,4
1366,1166,1
1366,1167,2
1366,1169,1
1366,1170,2
1366,1172,2
1366,1174,1
1366,1175,1
1366,1176,1
1366,1178,1
1366,1179,4
1366,1180,3
1366,1181,3
1366,1182,4
1366,1183,1
1366,1185,1
1366,1186,2
1366,1187,5
1366,1188,5
1366,1189,4
1366,1190,2
1366,1191,3
1366,1192,3
1366,1194,3
1366,1195,2
1366,1196,5
1366,1198,11
1366,1200,4
1366,1201,1
1366,1202,1
1366,1205,3
1366,1206,1
1366,1207,4
1366,1208,1
1366,1209,3
1366,1210,2
1366,1213,2
1366,1215,2
1366,1216,15
1366,1217,7
1366,1218,1
1366,1220,4
1366,1221,1
1366,1224,3
1366,1225,2
1366,1226,1
1366,1227,1
1366,1228,1
1366,1229,1
1366,1230,5
1366,1232,2
1366,1233,3
1366,1234,2
1366,1235,1
1366,1236,1
1366,1237,1
1366,1238,2
1366,1239,2
1366,1240,1
1366,1241,66
1366,1242,2
1366,1243,4
1366,1244,1
1366,1245,3
1366,1246,2
1366,1248,3
1366,1251,1
1366,1252,1
1366,1253,2
1366,1254,1
1366,1255,3
1366,1257,2
1366,1258,1
1366,1259,2
1366,1260,8
1366,1261,2
1366,1262,4
1366,1263,2
1366,1264,6
1366,1265,10
1366,1266,3
1366,1267,3
1366,1268,6
1366,1269,2
1366,1270,6
1366,1271,2
1366,1272,4
1366,1273,7
1366,1274,1
1366,1275,2
1366,1276,5
1366,1277,7
1366,1278,8
1366,1279,2
1366,1280,6
1366,1281,5
1366,1282,2
1366,1283,11
1366,1284,5
1366,1285,3
1366,1286,3
1366,1287,3
1366,1288,9
1366,1289,3
1366,1290,4
1366,1291,9
1366,1292,36
1366,1294,9
1366,1295,7
1366,1296,6
1366,1297,3
1366,1298,8
1366,1299,7
1366,1300,8
1366,1301,39
1366,1302,3
1366,1303,12
1366,1304,75
1366,1305,1
1366,1306,4
1366,1307,2
1366,1308,10
1366,1309,6
1366,1310,11
1366,1311,5
1366,1312,6
1366,1313,6
1366,1314,4
1366,1315,2
1366,1316,2
1366,1317,8
1366,1318,7
1366,1319,7
1366,1320,2
1366,1321,2
1366,1322,15
1366,1323,6
1366,1324,3
1366,1325,11
1366,1326,3
1366,1327,13
1366,1328,5
1366,1329,28
1366,1330,13
1366,1331,6
1366,1332,6
1366,1333,34
1366,1334,5
1366,1335,5
1366,1336,9
1366,1337,10
1366,1338,8
1366,1339,6
1366,1340,10
1366,1341,94
1366,1342,19
1366,1343,19
1366,1344,18
1366,1345,1528
1366,1346,105
1366,1347,24
1366,1348,102
1366,1349,25
1366,1350,143
1366,1351,10
1366,1352,66
1366,1353,6
1366,1354,11
1366,1355,11
1366,1356,12
1366,1357,6
1366,1358,16
1366,1359,4
1366,1360,8
1366,1361,1
1366,1362,20
1366,1363,1
1366,1364,36
1366,1365,7
1366,1366,18962
1366,1368,2
1366,1370,4
1366,1371,3
1366,1376,1
1366,1387,1
1366,1398,1
1366,1440,1
1366,1517,75
1366,1521,2
1366,1523,1
1366,1639,8
1366,1734,2
1366,1821,9
1366,1920,1
1366,2027,1
1366,2051,2
1440,443,1
1440,462,1
1440,526,1
1440,549,1
1440,640,1
1440,683,1
