resolution,viewport,frequency
1360,1346,3
1360,1347,1
1360,1348,2
1360,1349,1
1360,1350,2
1360,1351,1
1360,1352,10
1360,1355,1
1360,1356,2
1360,1357,1
1360,1358,2
1360,1360,1580
1360,1364,1
1360,1511,2
1600,588,1
1600,679,1
1600,687,1
1600,734,1
1600,739,2
1600,740,1
1600,763,4
1600,790,1
1600,800,1
1600,803,1
1600,904,1
1600,911,1
1600,957,1
1600,961,1
1600,963,1
1600,976,1
1600,984,2
1600,1004,1
1600,1007,1
1600,1021,1
1600,1029,1
1600,1034,1
1600,1038,1
1600,1039,1
1600,1040,1
1600,1050,6
1600,1079,2
1600,1095,1
1600,1097,1
1600,1130,1
1600,1154,2
1600,1166,1
1600,1176,4
1600,1179,1
1600,1193,1
1600,1196,2
1600,1205,4
1600,1209,2
1600,1212,1
1600,1219,1
1600,1221,1
1600,1226,1
1600,1233,1
1600,1237,1
1600,1238,1
1600,1250,1
1600,1278,3
1600,1280,4
1600,1286,1
1600,1298,1
1600,1300,12
1600,1335,1
1600,1350,1
1600,1403,3
1600,1420,1
1600,1422,1
1600,1436,1
1600,1440,1
1600,1447,1
1600,1450,1
1600,1452,1
1600,1461,1
1600,1467,2
1600,1477,1
1600,1526,1
1600,1535,2
1600,1538,3
1600,1541,1
1600,1547,1
1600,1551,1
1600,1555,1
1600,1557,1
1600,1558,1
1600,1563,1
1600,1565,2
1600,1567,2
1600,1568,1
1600,1572,1
1600,1573,1
1600,1575,1
1600,1578,1
1600,1579,91
1600,1580,8
1600,1581,2
1600,1582,5
1600,1584,3
1600,1585,1
1600,1586,1
1600,1588,1
1600,1590,1
1600,1592,4
1600,1593,1
1600,1594,1
1600,1595,1
1600,1596,1
1600,1597,1
1600,1598,2
1600,1600,959
1600,1777,2
1600,2133,2
1920,515,1
1920,518,2
1920,530,1
1920,537,1
1920,613,1
1920,695,1
1920,747,1
1920,763,1
1920,861,1
1920,866,1
1920,914,2
1920,927,1
1920,929,1
1920,931,1
1920,935,2
1920,950,1
1920,976,1
1920,980,1
1920,1006,1
1920,1015,1
1920,1016,1
1920,1024,1
1920,1040,1
1920,1041,1
1920,1046,3
1920,1049,1
1920,1055,2
1920,1059,1
1920,1062,1
1920,1063,1
1920,1083,1
1920,1107,2
1920,1113,3
1920,1114,1
1920,1116,3
1920,1131,1
1920,1132,1
1920,1135,4
1920,1139,2
1920,1157,1
1920,1163,1
1920,1166,1
1920,1168,1
1920,1177,1
1920,1178,4
1920,1181,3
1920,1184,6
1920,1185,1
1920,1201,2
1920,1202,1
1920,1203,1
1920,1211,3
1920,1223,1
1920,1230,1
1920,1240,1
1920,1244,2
1920,1250,1
1920,1252,1
1920,1254,2
1920,1256,1
1920,1263,1
1920,1264,1
1920,1272,1
1920,1274,1
1920,1278,1
1920,1280,5
1920,1286,1
1920,1287,1
1920,1288,4
1920,1292,1
1920,1294,1
1920,1298,1
1920,1299,1
1920,1304,1
1920,1330,1
1920,1333,3
1920,1350,1
1920,1356,1
1920,1369,1
1920,1378,3
1920,1381,2
1920,1386,1
1920,1387,1
1920,1396,2
1920,1402,1
1920,1403,1
1920,1406,2
1920,1416,1
1920,1427,2
1920,1444,1
1920,1445,3
1920,1446,1
1920,1452,1
1920,1455,2
1920,1456,1
1920,1469,1
1920,1475,1
1920,1484,1
1920,1499,1
1920,1504,1
1920,1506,1
1920,1510,1
1920,1517,1
1920,1520,2
1920,1528,1
1920,1530,1
1920,1536,4
1920,1540,1
1920,1543,1
1920,1547,2
1920,1557,1
1920,1558,1
1920,1562,1
1920,1564,1
1920,1573,1
1920,1574,1
1920,1578,1
1920,1596,1
1920,1608,1
1920,1611,2
1920,1620,16
1920,1621,1
1920,1622,1
1920,1627,2
1920,1642,1
1920,1651,2
1920,1653,1
1920,1659,1
1920,1672,4
1920,1686,2
1920,1699,1
1920,1702,2
1920,1705,3
1920,1716,1
1920,1745,5
1920,1747,9
1920,1759,1
1920,1768,1
1920,1775,1
1920,1796,1
1920,1804,1
1920,1815,1
1920,1817,1
1920,1822,1
1920,1831,1
1920,1836,3
1920,1841,5
1920,1843,3
1920,1845,2
1920,1852,2
1920,1855,7
1920,1857,1
1920,1858,1
1920,1861,1
1920,1867,1
